0	161
1	159
2	160
3	156
4	157
5	158
6	151
7	152
8	153
9	154
10	155
11	146
12	147
13	148
14	149
15	150
16	139
17	140
18	141
19	142
20	143
21	144
22	145
23	131
24	132
25	133
26	134
27	135
28	136
29	137
30	138
31	121
32	122
33	123
34	124
35	125
36	126
37	127
38	128
39	129
40	130
41	111
42	112
43	113
44	114
45	115
46	116
47	117
48	118
49	119
50	120
51	101
52	102
53	103
54	104
55	105
56	106
57	107
58	108
59	109
60	110
61	91
62	92
63	93
64	94
65	95
66	96
67	97
68	98
69	99
70	100
71	81
72	82
73	83
74	84
75	85
76	86
77	87
78	88
79	89
80	90
