1	0	90	0	36	17.5
2	1	99.68	346.42	-54	17.5
2	2	105.79	5.27	18	17.5
2	3	90	16.62	90	17.5
2	4	74.21	5.27	162	17.5
2	5	80.32	346.42	234	17.5
3	6	90	331.18	90	17.5
4	7	108	333.43	0	17.5
3	8	117.28	350.35	162	17.5
4	9	120	10.81	-102	17.5
3	10	106.46	23.99	234	17.5
4	11	90	31.72	30	17.5
3	12	73.54	23.99	306	17.5
4	13	60	10.81	96	17.5
3	14	62.72	350.35	18	17.5
4	15	72	333.43	0	17.5
3	16	97.41	318.31	330	17.5
2	17	115.38	319.24	118	17.5
3	18	125.97	336.21	-90	17.5
3	19	131.84	353.75	42	17.5
2	20	133.91	18.23	204	17.5
3	21	119.47	31.72	0	17.5
3	22	106.46	39.45	120	17.5
2	23	90	46.82	-90	17.5
3	24	73.54	39.45	60	17.5
3	25	60.53	31.72	180	17.5
2	26	46.09	18.23	-24	17.5
3	27	48.16	353.75	138	17.5
3	28	54.03	336.21	-90	17.5
2	29	64.62	319.24	62	17.5
3	30	82.59	318.31	210	17.5
4	31	90	301.71	0	17.5
2	32	105.1	301.71	180	17.5
1	33	121.72	301.71	-18	17.5
2	34	134.48	315.34	46	17.5
4	35	144	333.43	0	17.5
2	36	149.5	359.31	-98	17.5
1	37	148.29	31.72	18	17.5
2	38	133.91	45.22	156	17.5
4	39	120	52.63	40	17.5
2	40	105.79	58.17	-20	17.5
1	41	90	63.44	0	17.5
2	42	74.21	58.17	199	17.5
4	43	60	52.63	140	17.5
2	44	46.09	45.22	24	17.5
1	45	31.71	31.72	-18	17.5
2	46	30.5	359.31	278	17.5
4	47	36	333.43	0	17.5
2	48	45.52	315.34	134	17.5
1	49	58.28	301.71	18	17.5
2	50	74.9	301.71	0	17.5
3	51	97.41	285.11	30	17.5
2	52	115.38	284.19	-118	17.5
2	53	134.48	288.08	-46	17.5
3	54	150.53	301.71	180	17.5
3	55	161.87	326.18	83	17.5
2	56	164.91	31.73	0	17.5
2	57	149.5	64.13	101	17.5
3	58	131.84	69.69	-42	17.5
3	59	117.28	73.09	200	17.5
2	60	99.68	77.02	55	17.5
2	61	80.32	77.02	125	17.5
3	62	62.72	73.09	-20	17.5
3	63	48.16	69.69	220	17.5
2	64	30.5	64.13	78	17.5
2	65	15.09	31.73	180	17.5
3	66	18.13	326.18	98	17.5
3	67	29.47	301.71	0	17.5
2	68	45.52	288.08	-134	17.5
2	69	64.62	284.19	-62	17.5
3	70	82.59	285.11	150	17.5
3	71	90	272.26	-90	17.5
4	72	108	270	0	17.5
3	73	125.97	267.21	90	17.5
4	74	144	270	0	17.5
3	75	161.86	277.26	-85	17.5
3	77	161.86	97.26	-85	17.5
4	78	144	90	0	17.5
3	79	125.97	87.21	90	17.5
4	80	108	90	60	17.5
3	81	90	92.26	60	17.5
4	82	72	90	90	17.5
3	83	54.03	87.21	0	17.5
4	84	36	90	-90	17.5
3	85	18.14	97.26	0	17.5
3	87	18.14	277.26	0	17.5
4	88	36	270	0	17.5
3	89	54.03	267.21	0	17.5
4	90	72	270	0	17.5
2	91	99.68	257.02	0	17.5
3	92	117.28	253.09	0	17.5
3	93	131.84	249.69	0	17.5
2	94	149.5	244.13	0	17.5
2	95	164.91	211.73	0	17.5
3	96	161.87	146.18	0	17.5
3	97	150.53	121.71	0	17.5
2	98	134.48	108.08	0	17.5
2	99	115.38	104.19	0	17.5
3	100	97.41	105.11	0	17.5
1	101	82.59	105.11	0	17.5
1	102	64.62	104.19	0	17.5
1	103	45.52	108.08	0	17.5
1	104	29.47	121.71	0	17.5
1	105	18.13	146.18	0	17.5
1	106	15.09	211.73	0	17.5
1	107	30.5	244.13	0	17.5
1	108	48.16	249.69	0	17.5
1	109	62.72	253.09	0	17.5
1	110	80.32	257.02	0	17.5
1	111	90	243.44	0	17.5
1	112	105.79	238.17	0	17.5
1	113	120	232.63	0	17.5
1	114	133.91	225.22	0	17.5
1	115	148.29	211.72	0	17.5
1	116	149.5	179.31	0	17.5
1	117	144	153.43	0	17.5
1	118	134.48	135.34	0	17.5
1	119	121.72	121.71	0	17.5
1	120	105.1	121.71	0	17.5
1	121	90	121.71	0	17.5
1	122	74.9	121.71	0	17.5
1	123	58.28	121.71	0	17.5
1	124	45.52	135.34	0	17.5
1	125	36	153.43	0	17.5
1	126	30.5	179.31	0	17.5
1	127	31.71	211.72	0	17.5
1	128	46.09	225.22	0	17.5
1	129	60	232.63	0	17.5
1	130	74.21	238.17	0	17.5
1	131	90	226.82	0	17.5
1	132	106.46	219.45	0	17.5
1	133	119.47	211.72	0	17.5
1	134	133.91	198.23	0	17.5
1	135	131.84	173.75	0	17.5
1	136	125.97	156.21	0	17.5
1	137	115.38	139.24	0	17.5
1	138	97.41	138.31	0	17.5
1	139	82.59	138.31	0	17.5
1	140	64.62	139.24	0	17.5
1	141	54.03	156.21	0	17.5
1	142	48.16	173.75	0	17.5
1	143	46.09	198.23	0	17.5
1	144	60.53	211.72	0	17.5
1	145	73.54	219.45	0	17.5
1	146	90	211.72	0	17.5
1	147	106.46	203.99	0	17.5
1	148	120	190.81	0	17.5
1	149	117.28	170.35	0	17.5
4	150	108	153.43	0	17.5
3	151	90	151.18	0	17.5
2	152	72	153.43	0	17.5
1	153	62.72	170.35	0	17.5
1	154	60	190.81	0	17.5
1	155	73.54	203.99	0	17.5
2	156	90	196.62	0	17.5
2	157	105.79	185.27	0	17.5
2	158	99.68	166.42	0	17.5
2	159	80.32	166.42	0	17.5
2	160	74.21	185.27	0	17.5
1	161	90	180	0	17.5
4	76	-1	-1	0	17.5
4	86	-1	-1	0	17.5
